0101,0007,1.00,,USB OPTICAL MOUSE 
03f0,4117,1.00,Hewlett-Packard,HP LaserJet 1018
03f0,ac2a,1.00,HP,HP ColorLaserJet M253-M254
0461,0010,1.04,NOVATEK,USB Keyboard
046d,c077,2.00,Logitech,USB Optical Mouse
046d,c31d,6.01,Logitech,USB Keyboard
046d,c52b,4.00,Logitech,USB Receiver
04f3,0103,1.07,,
04f9,007e,1.00,Brother,HL-5590DN
093a,2510,1.00,PixArt,USB Optical Mouse
0951,1666,0.01,Kingston,DataTraveler 3.0
0bda,58b0,0.05,Sunplus IT Co ,aoni Webcam
17ef,608d,1.00,PixArt,lenovo USB Optical Mouse
17ef,6099,1.14,LiteOn,Lenovo Traditional USB Keyboard
1a2c,2124,1.10,SEM,USB Keyboard
1c4f,0002,1.10,SEM,HCT Keyboard
1c4f,0034,1.10,SIGMACHIP,Usb Mouse
275d,0ba6,1.00,,USB OPTICAL MOUSE 
28a0,1185,1.00,,USB OPTICAL MOUSE 
413c,301a,1.00,PixArt,Dell MS116 USB Optical Mouse
c0f4,01b0,1.10,USB,usb keyboard
c0f4,02e0,1.10,USB,usb keyboard
c0f4,05e0,1.10,SZH,usb keyboard
