Id,Score,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Col_22,Col_23,Col_24,Col_25,Col_26,Col_27,Col_28,Col_29,Col_30,Col_31,Col_32
1,4,2,1,a,b,1,1,12,e,b,13,c,f,3,40,i,16,f,3,8,a,2,a,1,b,b,12,j,a,b,15,15,b
2,2,17,10,a,a,0,3,8,c,b,5,d,a,1,40,m,16,f,2,1,a,4,a,2,b,a,3,f,a,b,15,3,b
3,4,11,1,a,a,0,2,6,e,b,15,d,a,0,65,k,7,i,0,0,a,4,a,3,b,a,19,f,a,d,10,18,b
4,1,11,6,a,a,0,3,1,e,b,24,a,f,1,60,b,11,a,0,6,b,3,b,1,b,a,16,b,a,b,15,18,b
5,5,13,1,a,a,0,3,3,c,a,12,d,f,1,37,r,7,i,1,3,b,1,a,2,b,a,10,f,a,b,5,9,b
6,2,12,6,c,a,0,1,5,e,b,19,c,a,0,36,i,7,a,0,0,b,1,a,1,b,a,2,b,a,b,10,12,b
7,1,15,10,a,a,0,2,8,e,b,19,c,c,1,68,b,13,c,1,3,a,3,a,1,b,a,5,b,a,b,5,18,b
8,4,10,6,a,b,0,1,5,e,b,16,d,a,2,34,k,8,g,2,3,b,0,a,1,b,b,9,f,a,b,5,3,b
9,6,13,10,d,a,0,2,17,c,b,0,d,f,1,76,r,8,f,1,10,b,0,b,1,b,a,13,f,a,b,5,18,b
10,12,16,1,a,a,0,0,15,a,d,19,c,f,2,53,i,7,b,2,6,b,2,a,1,b,a,12,b,a,c,5,18,a
11,4,8,10,a,a,0,2,4,a,b,2,d,b,1,53,r,9,i,2,2,a,2,a,1,b,a,4,f,f,b,0,18,a
12,1,5,10,b,a,0,3,7,c,b,2,c,h,1,27,e,16,f,2,0,a,1,b,1,b,a,2,a,a,b,0,12,a
13,16,17,6,b,a,0,2,7,a,b,1,c,f,1,6,i,12,f,1,0,b,5,a,1,b,a,10,j,a,b,15,12,a
14,1,12,10,a,a,0,7,1,a,b,3,c,b,1,5,b,10,a,1,6,a,6,a,1,b,a,12,b,f,b,10,9,a
15,1,12,1,a,a,1,1,6,e,b,9,d,a,1,8,r,8,g,1,0,a,5,b,3,b,a,3,f,a,b,5,15,b
16,11,17,1,a,a,0,4,7,e,b,1,c,f,5,87,b,11,f,5,6,a,3,a,1,b,a,13,b,a,b,15,12,b
17,4,11,10,a,a,0,5,5,e,b,19,c,a,0,51,i,3,a,0,5,a,5,a,1,b,a,16,b,b,b,15,9,b
18,8,3,10,a,a,0,2,16,a,b,20,d,f,2,39,n,6,i,4,3,b,4,a,1,d,a,7,f,a,b,5,9,a
19,1,9,0,a,b,0,1,4,e,b,4,d,g,1,73,k,8,g,1,0,a,4,a,1,b,b,10,f,a,b,5,15,b
20,2,14,6,b,a,0,3,6,a,b,6,a,f,0,66,b,8,a,0,0,b,6,a,3,b,a,13,b,a,b,10,18,a
21,6,16,6,a,a,0,5,4,e,b,10,c,f,1,55,i,5,a,1,8,b,4,a,2,b,a,12,j,b,b,15,18,b
22,5,20,0,a,a,1,2,9,e,b,10,c,h,0,37,i,13,c,0,1,b,5,b,1,c,a,12,j,a,b,0,9,b
23,2,3,6,a,a,0,2,12,e,b,18,c,f,1,49,a,22,c,1,0,b,3,b,1,b,a,4,j,a,b,5,0,b
24,17,15,10,a,a,0,6,2,d,b,17,c,f,0,83,b,10,f,0,10,b,3,a,3,b,a,12,b,g,b,15,0,b
25,1,1,0,a,a,0,1,16,c,d,20,c,f,0,40,b,5,a,0,1,a,1,a,1,b,a,9,b,a,b,5,15,b
