day_index,idiom,spent_time
77,高深莫测,170
73,胆战心惊,394
72,轻声细芦,298
75,花前月下,116
78,ren人篱下,249
76,国泰民安,251
74,erfei而飞,178
91,鸡犬不宁,251
97,志在千里,1644
99,闲情逸致,111
92,排山倒海,108
98,居安思危,160
96,百口莫辩,203
90,春风化雨,1757
200,玩世不恭,62
201,张牙舞爪,732
207,左邻右舍,131
203,做贼心虚,71
202,水涨船高,331
208,逢凶化五吉,92
206,shen大精深,185
204,大张旗鼓,2745
81,坐吃山空,297
87,鬼斧神工,71
83,回天乏术,236
89,燃眉之慧,110
82,谈笑风生,3509
88,无中生有,178
84,rOu行走肉,105
80,人老珠黄,262
69,yi独树帜,308
68,愤世嫉俗,346
171,捉襟见肘,112
173,da飞蛋打,114
179,掩耳盗铃,304
172,前功尽弃,103
175,不乐思蜀,144
178,扎乱牴度,854
174,半信半疑,154
131,yis an反三,85
137,bi往不智,93
133,不寒而菜,150
139,xian昙花现,244
132,惊弓之鸟,270
138,雪中送炭,113
134,若无其事,153
130,fen石俱焚,143
193,zhen蹶不振,99
199,zh ang盖弥彰,231
192,泰然自若,202
195,金蝉脱壳,144
198,wan理万机,148
196,巢guang思益,196
194,心宽体胖,143
151,颠三倒四,2013
159,心不在焉,85
158,过河拆桥,619
156,塞翁失马,99
154,信口雌黄,3477
150,纸上谈兵,205
181,阴差阳错,190
187,酣畅淋漓,228
183,南辕北辙,147
189,藕断丝连,65
182,头晕目眩,112
185,xiao家户晓,77
186,gua光片羽,322
180,z ou檐走璧,172
167,shou手之劳,235
169,背井离乡,167
168,香极泰来,3294
166,zho高望重,168
164,和蔼可亲,127
160,杯弓蛇影,139
111,xin杯水车,2451
117,拾金不昧,181
112,ming声名鹊,179
115,敬而远之,77
116,适得其反,222
114,身临其境,151
110,X1n具匠心,179
147,闭门造车,132
143,口耳相传,118
149,chouxin底抽,1117
145,今非昔比,123
146,成王败寇,64
144,琳琅满目,146
140,鲜为人知,97
127,殊途同归,3599
129,飞来横祸,204
125,百家争鸣,302
126,囫囵吞枣,174
101,未雨绸缪,484
103,破釜沉舟,177
109,同归于尽,439
102,火上浇油,69
105,蝇头小利,129
108,wen不下问,2135
106,返老还童,251
104,wai出望外,141
